identifiant	occurrences	fichiers
ouvrir	10	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Conversation.svelte;apps/desktop/ui-v2/src/Lecture.svelte;apps/desktop/ui-v2/src/PileMisDeCote.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/Retour.svelte;apps/desktop/ui-v2/src/lib/liens.js
pages	10	apps/desktop/ui-v2/src/Liste.svelte
plage	10	apps/desktop/ui-v2/src/Nettoyage.svelte
refus	10	apps/desktop/ui-v2/src/Composition.svelte
registre	10	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/icones.js;apps/desktop/ui-v2/src/lib/portier.js
reperes	10	apps/desktop/ui-v2/src/App.svelte
routagesListe	10	apps/desktop/ui-v2/src/Reglages.svelte
sonde	10	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/ModaleMigration.svelte
tiroirOuvert	10	apps/desktop/ui-v2/src/App.svelte
attente	9	apps/desktop/ui-v2/src/GuichetCompte.svelte;apps/desktop/ui-v2/src/main.js
brouillonEpoch	9	apps/desktop/ui-v2/src/Composition.svelte
cleMsg	9	apps/desktop/ui-v2/src/lib/fil.svelte.js
composition	9	apps/desktop/ui-v2/src/App.svelte
enLigne	9	apps/desktop/ui-v2/src/App.svelte
enVol	9	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/lib/organise.svelte.js
ferme	9	apps/desktop/ui-v2/src/App.svelte
lignes	9	apps/desktop/ui-v2/src/App.svelte
nomOuvert	9	apps/desktop/ui-v2/src/Reglages.svelte
objet	9	apps/desktop/ui-v2/src/Composition.svelte
quand	9	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/lib/quand.js
repere	9	apps/desktop/ui-v2/src/Nav.svelte;apps/desktop/ui-v2/src/lib/boite.js
bulles	8	apps/desktop/ui-v2/src/Reglages.svelte
champSuggere	8	apps/desktop/ui-v2/src/Composition.svelte
cochee	8	apps/desktop/ui-v2/src/Liste.svelte
corpsAuto	8	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/lib/corps.js
fenetre	8	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/lib/theme.js
gesteEnCours	8	apps/desktop/ui-v2/src/Liste.svelte
largeurActuelle	8	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/lib/largeurs.svelte.js
lecture	8	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/lib/fil.svelte.js
menuDeplacer	8	apps/desktop/ui-v2/src/BarreFil.svelte
modifierRoutage	8	apps/desktop/ui-v2/src/Reglages.svelte
poserCorps	8	apps/desktop/ui-v2/src/Composition.svelte
programmerSauvegarde	8	apps/desktop/ui-v2/src/Composition.svelte
rattrapageCorps	8	apps/desktop/ui-v2/src/App.svelte
receptionOrganisee	8	apps/desktop/ui-v2/src/App.svelte
repereErreur	8	apps/desktop/ui-v2/src/Reglages.svelte
repondreInvitation	8	apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/Liste.svelte
retourBoite	8	apps/desktop/ui-v2/src/App.svelte
suivante	8	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Liste.svelte
sujet	8	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/Liste.svelte
terminer	8	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Onboarding.svelte;apps/desktop/ui-v2/src/PileMisDeCote.svelte
tour	8	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Liste.svelte
tri	8	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Registre.svelte
DEFAUTS	7	apps/desktop/ui-v2/src/lib/largeurs.svelte.js
appliquerTheme	7	apps/desktop/ui-v2/src/Onboarding.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/theme.js;apps/desktop/ui-v2/src/main.js
champsSignature	7	apps/desktop/ui-v2/src/Reglages.svelte
charger	7	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Registre.svelte
cibles	7	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Kiosque.svelte
date	7	apps/desktop/ui-v2/src/lib/quand.js
demandeSuppr	7	apps/desktop/ui-v2/src/Composition.svelte
derniereOuvertureMs	7	apps/desktop/ui-v2/src/lib/fil.svelte.js
estRepliee	7	apps/desktop/ui-v2/src/Kiosque.svelte
expediteursImages	7	apps/desktop/ui-v2/src/Reglages.svelte
fermerCartes	7	apps/desktop/ui-v2/src/Reglages.svelte
lancer	7	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/lib/transport.js
montrerCc	7	apps/desktop/ui-v2/src/Composition.svelte
montrerCouleurs	7	apps/desktop/ui-v2/src/Composition.svelte
montrerDiffere	7	apps/desktop/ui-v2/src/Composition.svelte
passeApresGeste	7	apps/desktop/ui-v2/src/App.svelte
probleme	7	apps/desktop/ui-v2/src/App.svelte
reponsesEnVol	7	apps/desktop/ui-v2/src/Fil.svelte
reponsesInvitation	7	apps/desktop/ui-v2/src/Liste.svelte
sourceTransfert	7	apps/desktop/ui-v2/src/Composition.svelte
surDefilement	7	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Liste.svelte
survolVolets	7	apps/desktop/ui-v2/src/Onboarding.svelte
synchroEchec	7	apps/desktop/ui-v2/src/App.svelte
totalListe	7	apps/desktop/ui-v2/src/App.svelte
BOITE_DE	6	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Reglages.svelte
TOAST_NON	6	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Reglages.svelte
accueilAJouer	6	apps/desktop/ui-v2/src/App.svelte
adresses	6	apps/desktop/ui-v2/src/Fil.svelte
annee	6	apps/desktop/ui-v2/src/lib/invitation.js
avisMaj	6	apps/desktop/ui-v2/src/App.svelte
brouillonDuFil	6	apps/desktop/ui-v2/src/Fil.svelte
centre	6	apps/desktop/ui-v2/src/Liste.svelte
chargerMessage	6	apps/desktop/ui-v2/src/lib/fil.svelte.js
chipsParPage	6	apps/desktop/ui-v2/src/Liste.svelte
conversation	6	apps/desktop/ui-v2/src/App.svelte
dateDiffere	6	apps/desktop/ui-v2/src/Composition.svelte
epinglesRepondues	6	apps/desktop/ui-v2/src/Liste.svelte
gabaritSeul	6	apps/desktop/ui-v2/src/Composition.svelte
horizon	6	apps/desktop/ui-v2/src/GuichetCompte.svelte
horizonErreur	6	apps/desktop/ui-v2/src/Reglages.svelte
horizonOuvert	6	apps/desktop/ui-v2/src/Reglages.svelte
jetonNav	6	apps/desktop/ui-v2/src/App.svelte
jetonRecherche	6	apps/desktop/ui-v2/src/Liste.svelte
montrerCci	6	apps/desktop/ui-v2/src/Composition.svelte
nomErreur	6	apps/desktop/ui-v2/src/Reglages.svelte
ouvrirMini	6	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte
perimetre	6	apps/desktop/ui-v2/src/Nettoyage.svelte
persisterLargeurs	6	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/lib/largeurs.svelte.js
plusPossible	6	apps/desktop/ui-v2/src/Registre.svelte
rangs	6	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Portier.svelte
rattrapagePct	6	apps/desktop/ui-v2/src/App.svelte
reconnexionErreur	6	apps/desktop/ui-v2/src/Reglages.svelte
reglages	6	apps/desktop/ui-v2/src/App.svelte
repereOuvert	6	apps/desktop/ui-v2/src/Reglages.svelte
retraitErreur	6	apps/desktop/ui-v2/src/Reglages.svelte
selectionCorps	6	apps/desktop/ui-v2/src/Composition.svelte
sombreSignale	6	apps/desktop/ui-v2/src/lib/theme.js
sonderBrouillons	6	apps/desktop/ui-v2/src/App.svelte
synchroPartiel	6	apps/desktop/ui-v2/src/App.svelte
themeActif	6	apps/desktop/ui-v2/src/Onboarding.svelte
totalPrecis	6	apps/desktop/ui-v2/src/Liste.svelte
totalResultats	6	apps/desktop/ui-v2/src/Liste.svelte
trait	6	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Marque.svelte
THEMES	5	apps/desktop/ui-v2/src/lib/theme.js
appliquerLangue	5	apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/texte.svelte.js
archive	5	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/icones.js;apps/desktop/ui-v2/src/lib/portier.js
archiver	5	apps/desktop/ui-v2/src/App.svelte
avisConnexion	5	apps/desktop/ui-v2/src/App.svelte
basculerCote	5	apps/desktop/ui-v2/src/App.svelte
basculerGroupe	5	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Registre.svelte
basculerMessage	5	apps/desktop/ui-v2/src/lib/fil.svelte.js
brouillons	5	apps/desktop/ui-v2/src/App.svelte
champRecherche	5	apps/desktop/ui-v2/src/App.svelte
cleVol	5	apps/desktop/ui-v2/src/Liste.svelte
compteDe	5	apps/desktop/ui-v2/src/Composition.svelte
cote	5	apps/desktop/ui-v2/src/App.svelte
deplacerExpediteur	5	apps/desktop/ui-v2/src/App.svelte
ecartJours	5	apps/desktop/ui-v2/src/lib/quand.js
enregistrerSignature	5	apps/desktop/ui-v2/src/Reglages.svelte
estEcho	5	apps/desktop/ui-v2/src/lib/fil.svelte.js
groupesOuverts	5	apps/desktop/ui-v2/src/Kiosque.svelte
hautEpingles	5	apps/desktop/ui-v2/src/Liste.svelte
jetonSignature	5	apps/desktop/ui-v2/src/Composition.svelte
marquerAccueilFait	5	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Onboarding.svelte;apps/desktop/ui-v2/src/lib/accueil.js
nTotal	5	apps/desktop/ui-v2/src/App.svelte
nomOccupe	5	apps/desktop/ui-v2/src/Reglages.svelte
nonLues	5	apps/desktop/ui-v2/src/Kiosque.svelte
ouvrirMenu	5	apps/desktop/ui-v2/src/Kiosque.svelte;apps/desktop/ui-v2/src/Registre.svelte
parQui	5	apps/desktop/ui-v2/src/Kiosque.svelte
pile	5	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/lib/icones.js
premierePageMs	5	apps/desktop/ui-v2/src/Liste.svelte
prochainProgramme	5	apps/desktop/ui-v2/src/App.svelte
rattraperCorps	5	apps/desktop/ui-v2/src/App.svelte
reglerLargeur	5	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/lib/largeurs.svelte.js
relever	5	apps/desktop/ui-v2/src/App.svelte
retour	5	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Onboarding.svelte
supprimer	5	apps/desktop/ui-v2/src/App.svelte
surSelection	5	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Composition.svelte
vide	5	apps/desktop/ui-v2/src/Composition.svelte
CLE_AUTO	4	apps/desktop/ui-v2/src/lib/theme.js
DEFAUT	4	apps/desktop/ui-v2/src/lib/espacement.svelte.js
ETAPES	4	apps/desktop/ui-v2/src/Onboarding.svelte
VIDE	4	apps/desktop/ui-v2/src/lib/fil.svelte.js
attentePortier	4	apps/desktop/ui-v2/src/Fil.svelte
avisCrash	4	apps/desktop/ui-v2/src/App.svelte
avisEnvoi	4	apps/desktop/ui-v2/src/App.svelte
avisTelemetrie	4	apps/desktop/ui-v2/src/App.svelte
boiteDe	4	apps/desktop/ui-v2/src/Fil.svelte;apps/desktop/ui-v2/src/Liste.svelte
brouillon	4	apps/desktop/ui-v2/src/App.svelte
champA	4	apps/desktop/ui-v2/src/Composition.svelte
champCc	4	apps/desktop/ui-v2/src/Composition.svelte
champCci	4	apps/desktop/ui-v2/src/Composition.svelte
chargerPlus	4	apps/desktop/ui-v2/src/Liste.svelte;apps/desktop/ui-v2/src/Registre.svelte
cible	4	apps/desktop/ui-v2/src/lib/organise.svelte.js
clavierAdresse	4	apps/desktop/ui-v2/src/Composition.svelte
commandeSignature	4	apps/desktop/ui-v2/src/Reglages.svelte
corbeille	4	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/portier.js
corpsEnCours	4	apps/desktop/ui-v2/src/App.svelte
corpsVersion	4	apps/desktop/ui-v2/src/Composition.svelte
coutureEnVol	4	apps/desktop/ui-v2/src/Liste.svelte
demarrer	4	apps/desktop/ui-v2/src/Nettoyage.svelte
ecrire	4	apps/desktop/ui-v2/src/App.svelte
envoisEnAttente	4	apps/desktop/ui-v2/src/App.svelte
envoyer	4	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Retour.svelte
erreurs	4	apps/desktop/ui-v2/src/lib/fil.svelte.js
espacement	4	apps/desktop/ui-v2/src/Reglages.svelte
estOuverte	4	apps/desktop/ui-v2/src/Composition.svelte;apps/desktop/ui-v2/src/Conversation.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/Retour.svelte
filtreRoutages	4	apps/desktop/ui-v2/src/Reglages.svelte
generationVue	4	apps/desktop/ui-v2/src/App.svelte
generiqueOuvert	4	apps/desktop/ui-v2/src/Onboarding.svelte
gestesOrganise	4	apps/desktop/ui-v2/src/Liste.svelte
groupesTries	4	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Registre.svelte
hCadre	4	apps/desktop/ui-v2/src/Liste.svelte
heures	4	apps/desktop/ui-v2/src/lib/quand.js
imagesBloquees	4	apps/desktop/ui-v2/src/lib/fil.svelte.js
jetonSuggere	4	apps/desktop/ui-v2/src/Composition.svelte
kiosqueTotal	4	apps/desktop/ui-v2/src/App.svelte
largeur	4	apps/desktop/ui-v2/src/lib/corps.js
lien	4	apps/desktop/ui-v2/src/lib/liens.js
mesureDemandee	4	apps/desktop/ui-v2/src/Kiosque.svelte
minuterieSuggere	4	apps/desktop/ui-v2/src/Composition.svelte
nbPieces	4	apps/desktop/ui-v2/src/lib/fil.svelte.js
nbPiecesDe	4	apps/desktop/ui-v2/src/Fil.svelte
neuve	4	apps/desktop/ui-v2/src/Composition.svelte
nomBrouillon	4	apps/desktop/ui-v2/src/Reglages.svelte
note	4	apps/desktop/ui-v2/src/ModaleMigration.svelte
panne	4	apps/desktop/ui-v2/src/lib/transport.js
plafondPoignee	4	apps/desktop/ui-v2/src/App.svelte
portierTotal	4	apps/desktop/ui-v2/src/App.svelte
premiere	4	apps/desktop/ui-v2/src/Kiosque.svelte
rangsPuces	4	apps/desktop/ui-v2/src/Liste.svelte
rattrapageApercus	4	apps/desktop/ui-v2/src/App.svelte
reception	4	apps/desktop/ui-v2/src/Nettoyage.svelte;apps/desktop/ui-v2/src/Portier.svelte;apps/desktop/ui-v2/src/Reglages.svelte;apps/desktop/ui-v2/src/lib/portier.js
registreTotal	4	apps/desktop/ui-v2/src/App.svelte
repondre	4	apps/desktop/ui-v2/src/App.svelte
reprendreBrouillon	4	apps/desktop/ui-v2/src/App.svelte
reprise	4	apps/desktop/ui-v2/src/ModaleMigration.svelte
routagesVisibles	4	apps/desktop/ui-v2/src/Reglages.svelte
sections	4	apps/desktop/ui-v2/src/Liste.svelte
sonderSynchro	4	apps/desktop/ui-v2/src/App.svelte
surFrappeAdresse	4	apps/desktop/ui-v2/src/Composition.svelte
totalEnVol	4	apps/desktop/ui-v2/src/Liste.svelte
totalServiA	4	apps/desktop/ui-v2/src/Liste.svelte
transferer	4	apps/desktop/ui-v2/src/App.svelte
triHistorique	4	apps/desktop/ui-v2/src/Portier.svelte
triLus	4	apps/desktop/ui-v2/src/Kiosque.svelte
triNonLus	4	apps/desktop/ui-v2/src/Kiosque.svelte
verifierMaj	4	apps/desktop/ui-v2/src/App.svelte;apps/desktop/ui-v2/src/Reglages.svelte
viderSelection	4	apps/desktop/ui-v2/src/Liste.svelte
vues	4	apps/desktop/ui-v2/src/Kiosque.svelte
zoneCorps	4	apps/desktop/ui-v2/src/Composition.svelte
CATALOGUES	3	apps/desktop/ui-v2/src/lib/texte.svelte.js
CLE_COMMENCE	3	apps/desktop/ui-v2/src/lib/accueil.js
