layer,old,new,occurrences,files
e2e-scripts,dejaConstruits,alreadyBuilt,3,e2e/rebuild-v2.mjs
e2e-scripts,encore,still,3,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,encreClaire,lightInk,3,e2e/contraste.mjs
e2e-scripts,encreSombre,darkInk,3,e2e/contraste.mjs
e2e-scripts,etape,step,3,e2e/launch.mjs
e2e-scripts,etiquette,label,3,e2e/tests/retours-14-reception.spec.js
e2e-scripts,fente,slot,3,e2e/tests/refonte-retours-6.spec.js
e2e-scripts,fermer,close,3,e2e/port-cdp.test.mjs
e2e-scripts,fondDe,bgOf,3,e2e/tests/refonte-retours-7.spec.js
e2e-scripts,glyphe,glyph,3,e2e/contraste.mjs
e2e-scripts,iSonde,probeIndex,3,e2e/tests/demarrage.spec.js
e2e-scripts,iconesRust,rustIcons,3,e2e/coherence-systeme.mjs
e2e-scripts,lireFichier,readFile,3,scripts/mesurer-sessions.mjs
e2e-scripts,listeJs,jsList,3,e2e/coherence-systeme.mjs
e2e-scripts,listeRust,rustList,3,e2e/coherence-systeme.mjs
e2e-scripts,nTraces,traceCount,3,e2e/tests/refonte-retours-8.spec.js
e2e-scripts,non,no,3,e2e/tests/mode-organise.spec.js
e2e-scripts,oui,yes,3,e2e/tests/mode-organise.spec.js
e2e-scripts,page0Arrivee,page0Arrival,3,e2e/tests/refonte-defilement.spec.js
e2e-scripts,pieceConv,convAttachment,3,e2e/tests/refonte-volets.spec.js
e2e-scripts,rangReception,inboxRank,3,e2e/tests/mode-organise.spec.js
e2e-scripts,reperes,markers,3,e2e/jetons.mjs
e2e-scripts,suivante,next,3,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,tenu,held,3,e2e/port-cdp.test.mjs
e2e-scripts,volets,panes,3,e2e/capture-accueil.mjs
e2e-scripts,vue,view,3,e2e/capture-accueil.mjs
e2e-scripts,CLES_LOCALES,LOCAL_KEYS,2,e2e/launch.mjs
e2e-scripts,FONDS_REPERE,MARKER_BGS,2,e2e/contraste.mjs
e2e-scripts,HORS_POMPE,OFF_PUMP,2,e2e/garde-thread-principal.mjs
e2e-scripts,REPERE_FAMILLES,MARKER_FAMILIES,2,e2e/contraste.mjs
e2e-scripts,SEUIL_MS,THRESHOLD_MS,2,scripts/mesurer-sessions.mjs
e2e-scripts,archiver,archive,2,e2e/tests/barres-fil.spec.js
e2e-scripts,auRepere,atMarker,2,e2e/tests/refonte-retours-8.spec.js
e2e-scripts,barreSticky,stickyBar,2,e2e/tests/barres-fil.spec.js
e2e-scripts,brouillons,drafts,2,e2e/tests/refonte-retours-6.spec.js
e2e-scripts,categorie,category,2,scripts/mesurer-sessions.mjs
e2e-scripts,chantier,job,2,e2e/launch.mjs
e2e-scripts,cible,target,2,e2e/geste-defilement.mjs
e2e-scripts,corbeille,trash,2,e2e/tests/selection-multiple.spec.js
e2e-scripts,court,short,2,e2e/tests/espacement.spec.js
e2e-scripts,dansLaGlu,inTheGlue,2,e2e/garde-thread-principal.mjs
e2e-scripts,depuis,since,2,scripts/mesurer-sessions.mjs
e2e-scripts,depuisDefaut,sinceDefault,2,scripts/mesurer-sessions.mjs
e2e-scripts,filet,net,2,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,fondPastille,badgeBg,2,e2e/tests/refonte-ecran02.spec.js
e2e-scripts,heureEnvoi,sendTime,2,e2e/tests/repere-ligne.spec.js
e2e-scripts,iListe,listIndex,2,e2e/tests/demarrage.spec.js
e2e-scripts,interdit,forbidden,2,e2e/coherence-systeme.mjs
e2e-scripts,largeurAvant,widthBefore,2,e2e/tests/refonte-retours-7.spec.js
e2e-scripts,lireSession,readSession,2,scripts/mesurer-sessions.mjs
e2e-scripts,liste,list,2,e2e/tests/refonte-defilement.spec.js
e2e-scripts,marge,margin,2,e2e/tests/barres-fil.spec.js
e2e-scripts,murBloque,blockedWall,2,scripts/mesurer-sessions.mjs
e2e-scripts,nomNon,nameNo,2,e2e/tests/nettoyage.spec.js
e2e-scripts,ombre,shadow,2,e2e/tests/refonte-retours-7.spec.js
e2e-scripts,parDate,byDate,2,e2e/tests/retours-14-reception.spec.js
e2e-scripts,pastilles,badges,2,e2e/coherence-systeme.mjs
e2e-scripts,portTenu,heldPort,2,e2e/port-cdp.test.mjs
e2e-scripts,reperesJs,markersJs,2,e2e/coherence-systeme.mjs
e2e-scripts,reponseOmbre,shadowReply,2,e2e/tests/barres-fil.spec.js
e2e-scripts,reponseSticky,stickyReply,2,e2e/tests/barres-fil.spec.js
e2e-scripts,retour,back,2,e2e/tests/barres-fil.spec.js
e2e-scripts,sansLesAppels,withoutCalls,2,e2e/garde-thread-principal.mjs
e2e-scripts,sous,under,2,e2e/flaky.mjs
e2e-scripts,teinteSel,selHue,2,e2e/tests/selection-multiple.spec.js
e2e-scripts,teintesCss,cssHues,2,e2e/coherence-systeme.mjs
e2e-scripts,teintesTrace,traceHues,2,e2e/coherence-systeme.mjs
e2e-scripts,tete,head,2,e2e/tests/refonte-retours-6.spec.js
e2e-scripts,videBas,emptyBottom,2,e2e/tests/sections-liste.spec.js
e2e-scripts,NOMBRE_ATTENDU,EXPECTED_COUNT,1,e2e/jetons.mjs
e2e-scripts,ROLES_PASTILLES,BADGE_ROLES,1,e2e/coherence-systeme.mjs
e2e-scripts,ctxMoyen,avgCtx,1,scripts/mesurer-sessions.mjs
e2e-scripts,geste,gesture,1,e2e/tests/refonte-invitations.spec.js
e2e-scripts,icone,icon,1,e2e/coherence-systeme.mjs
e2e-scripts,langue,language,1,e2e/coherence-systeme.mjs
e2e-scripts,lireReperes,readMarkers,1,e2e/jetons.mjs
e2e-scripts,lireThemes,readThemes,1,e2e/jetons.mjs
e2e-scripts,nbJetons,tokenCount,1,e2e/coherence-systeme.mjs
e2e-scripts,nbThemes,themeCount,1,e2e/coherence-systeme.mjs
e2e-scripts,purgerLocales,purgeLocals,1,e2e/launch.mjs
e2e-scripts,reponseA,replyTo,1,e2e/tests/retours-14-reception.spec.js
e2e-scripts,reservesCatalogue,catalogReserves,1,e2e/coherence-systeme.mjs
e2e-scripts,tenirBarre,holdBar,1,e2e/geste-defilement.mjs
rust,adresse,address,78,crates/mail-core/examples/seed_clarity.rs;crates/mail-core/src/compose.rs;crates/mail-core/src/store.rs;crates/mail-ical/src/lib.rs
rust,dossier,folder,57,apps/desktop/src/demenagement.rs;apps/desktop/src/instance.rs;apps/desktop/src/trace.rs;crates/mail-core/src/echo.rs
rust,dossiers,folders,46,crates/mail-core/examples/diagnostic_boites.rs;crates/mail-core/examples/seed_clarity.rs;crates/mail-core/examples/seed_inbox.rs;crates/mail-core/src/correspondants.rs;crates/mail-core/src/echo.rs;crates/mail-core/src/nav.rs;crates/mail-core/src/sync.rs
rust,fil,thread,38,crates/mail-core/src/echo.rs;crates/mail-core/src/store.rs
rust,pieces,attachments,36,apps/desktop/src/commands.rs;crates/mail-core/src/echo.rs;crates/mail-core/src/outbox.rs;crates/mail-smtp/src/lib.rs
rust,boite,mailbox,35,apps/desktop/src/commands.rs;apps/desktop/src/main.rs;crates/mail-core/examples/seed_clarity.rs;crates/mail-core/examples/seed_inbox.rs;crates/mail-core/src/nav.rs
rust,ancien,old,34,apps/desktop/src/demenagement.rs;crates/mail-core/src/store.rs
rust,cle,key,33,crates/mail-core/src/compose.rs;crates/mail-core/src/correspondants.rs;crates/mail-core/src/echo.rs;crates/mail-core/src/store.rs
rust,depart,departure,33,crates/mail-core/examples/banc_migration_fils.rs;crates/mail-core/examples/banc_nettoyage.rs;crates/mail-core/examples/banc_page_liste.rs;crates/mail-core/examples/banc_recherche.rs;crates/mail-core/examples/diagnostic_ouverture.rs;crates/mail-core/examples/seed_arrivee.rs
rust,nom,name,30,crates/mail-core/examples/seed_arrivee.rs;crates/mail-core/src/body.rs;crates/mail-core/src/correspondants.rs;crates/mail-core/src/store.rs;crates/mail-ical/src/lib.rs
rust,envoyes,sent,29,crates/mail-core/examples/seed_clarity.rs;crates/mail-core/src/correspondants.rs;crates/mail-core/src/echo.rs;crates/mail-core/src/nav.rs
rust,compte,account,27,apps/desktop/src/commands.rs;apps/desktop/src/main.rs;crates/mail-core/src/body.rs;crates/mail-core/src/echo.rs
rust,est,is,27,crates/mail-core/src/store.rs
rust,nouveau,new,27,apps/desktop/src/demenagement.rs;crates/mail-core/src/store.rs;crates/mail-imap/src/lib.rs
rust,fin,end,25,crates/mail-core/src/body.rs;crates/mail-core/src/compose.rs;crates/mail-ical/src/lib.rs
rust,ligne,line,25,apps/desktop/src/trace.rs;crates/mail-core/examples/banc_recherche.rs;crates/mail-core/src/store.rs;crates/mail-imap/src/faux_serveur.rs;crates/mail-imap/src/lib.rs
rust,adresses,addresses,22,crates/mail-core/src/correspondants.rs;crates/mail-core/src/store.rs;crates/mail-core/src/thread.rs
rust,texte,text,22,crates/mail-core/src/search.rs;crates/mail-imap/src/convert.rs;crates/mail-imap/src/faux_serveur.rs
rust,sortie,output,21,crates/mail-core/examples/diagnostic_fils.rs;crates/mail-core/examples/seed_inbox.rs;crates/mail-core/src/correspondants.rs;crates/mail-imap/src/lib.rs
rust,corbeille,trash,20,crates/mail-core/src/echo.rs;crates/mail-core/src/nav.rs
rust,indesirables,junk,20,crates/mail-core/src/echo.rs;crates/mail-core/src/nav.rs;crates/mail-core/src/store.rs
rust,corps,body,19,apps/desktop/src/commands.rs;crates/mail-core/examples/banc_indexation.rs;crates/mail-core/examples/banc_recherche.rs;crates/mail-core/examples/seed_clarity.rs;crates/mail-core/examples/seed_inbox.rs;crates/mail-core/src/compose.rs;crates/mail-core/src/echo.rs;crates/mail-imap/src/lib.rs
rust,noms,names,19,crates/mail-core/examples/seed_clarity.rs;crates/mail-core/src/correspondants.rs;crates/mail-core/src/nav.rs;crates/mail-imap/src/lib.rs
rust,regle,rule,19,crates/mail-core/src/store.rs
rust,reponse,reply,19,apps/desktop/src/commands.rs;crates/mail-core/src/invitation.rs;crates/mail-core/src/outbox.rs;crates/mail-core/src/store.rs;crates/mail-imap/src/faux_serveur.rs
rust,piece,attachment,17,crates/mail-core/examples/seed_clarity.rs;crates/mail-imap/src/tests_e3.rs;crates/mail-smtp/src/lib.rs
rust,debut,start,16,apps/desktop/src/veilleur.rs;crates/mail-core/src/compose.rs;crates/mail-core/src/correspondants.rs;crates/mail-ical/src/lib.rs
rust,completer_adresses,complete_addresses,15,crates/mail-core/src/correspondants.rs
rust,deja,already,15,apps/desktop/src/commands.rs;crates/mail-core/src/store.rs
rust,etat,state,15,crates/mail-core/examples/diagnostic_brouillons.rs;crates/mail-core/src/sync.rs
rust,methode,method,15,crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs;crates/mail-ical/src/lib.rs
rust,chrono,stopwatch,14,apps/desktop/src/commands.rs;crates/mail-core/examples/banc_nettoyage.rs
rust,faut_relever,must_poll,14,crates/mail-core/src/sync.rs
rust,non_lues,unread,14,crates/mail-core/src/nav.rs
rust,perimetre,scope,14,crates/mail-core/src/store.rs
rust,decor,fixture,13,crates/mail-core/src/correspondants.rs;crates/mail-core/src/echo.rs;crates/mail-core/src/store.rs
rust,liste,list,13,crates/mail-core/src/correspondants.rs;crates/mail-core/src/nav.rs;crates/mail-core/src/store.rs;crates/mail-imap/src/faux_serveur.rs
rust,GesteGroupe,GroupGesture,12,crates/mail-core/src/echo.rs
rust,NOUS,US,12,crates/mail-ical/tests/corpus.rs
rust,adresse_images,images_address,12,crates/mail-core/src/store.rs
rust,cibles,targets,12,apps/desktop/src/main.rs;crates/mail-core/examples/banc_recherche.rs;crates/mail-core/src/echo.rs
rust,invitation_projet,draft_invitation,12,crates/mail-core/src/store.rs
rust,apercu,preview,11,crates/mail-core/src/body.rs;crates/mail-core/src/store.rs
rust,quand,when,11,crates/mail-core/examples/seed_clarity.rs
rust,annule,cancelled,10,crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs
rust,arrivee,arrival,10,crates/mail-core/src/store.rs;crates/mail-core/src/sync.rs
rust,boites,mailboxes,10,apps/desktop/src/commands.rs;crates/mail-core/examples/banc_migration_fils.rs;crates/mail-core/examples/banc_page_liste.rs;crates/mail-core/src/echo.rs;crates/mail-core/src/store.rs
rust,caractere,char,10,crates/mail-core/src/body.rs;crates/mail-core/src/search.rs
rust,comptes,accounts,10,crates/mail-core/examples/diagnostic_boites.rs;crates/mail-core/src/correspondants.rs;crates/mail-core/src/echo.rs;crates/mail-core/src/store.rs
rust,non,no,10,crates/mail-core/src/store.rs
rust,titre,title,10,apps/desktop/src/commands.rs;crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs;crates/mail-ical/src/lib.rs
rust,JOUR,DAY,9,crates/mail-core/src/backfill.rs
rust,RepereLocal,LocalMarker,9,crates/mail-core/src/lib.rs;crates/mail-core/src/sync.rs
rust,bas,bottom,9,apps/desktop/src/commands.rs;crates/mail-core/src/compose.rs
rust,cible,target,9,apps/desktop/src/demenagement.rs;crates/mail-core/examples/seed_inbox.rs
rust,compte_echos,count_echos,9,crates/mail-core/src/echo.rs
rust,dernier_blanc,last_blank,9,crates/mail-core/src/body.rs
rust,liens,links,9,crates/mail-core/examples/banc_migration_fils.rs;crates/mail-core/src/thread.rs
rust,lignes,lines,9,crates/mail-core/examples/banc_page_liste.rs;crates/mail-core/examples/banc_recherche.rs;crates/mail-core/src/store.rs
rust,lot,batch,9,crates/mail-core/examples/seed_arrivee.rs;crates/mail-core/src/correspondants.rs;crates/mail-core/src/store.rs
rust,organisateur_adresse,organizer_address,9,crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs;crates/mail-ical/src/lib.rs;crates/mail-ical/tests/corpus.rs
rust,plage,range,9,crates/mail-core/src/store.rs
rust,reception,inbox,9,crates/mail-core/examples/seed_clarity.rs;crates/mail-core/src/nav.rs
rust,SocketSous,InnerSocket,8,crates/mail-imap/src/lib.rs
rust,apres,after,8,crates/mail-core/src/body.rs;crates/mail-core/src/sync.rs
rust,autre,other,8,crates/mail-core/src/store.rs
rust,brouillons,drafts,8,crates/mail-core/src/nav.rs
rust,deja_faite,already_done,8,crates/mail-core/src/store.rs
rust,draft_with_pieces,draft_with_attachments,8,crates/mail-core/src/outbox.rs
rust,fait,done,8,apps/desktop/src/commands.rs;apps/desktop/src/main.rs;crates/mail-core/src/correspondants.rs
rust,geste_avec_echo,gesture_with_echo,8,crates/mail-core/src/echo.rs
rust,initialisee,initialized,8,crates/mail-core/src/store.rs;crates/mail-core/src/sync.rs
rust,lieu,location,8,crates/mail-core/src/invitation.rs;crates/mail-core/src/store.rs;crates/mail-ical/src/lib.rs
rust,repondant,attendee,8,crates/mail-ical/src/lib.rs;crates/mail-ical/tests/corpus.rs
rust,store_avec_corbeille,store_with_trash,8,crates/mail-core/src/echo.rs
rust,FluxBorne,BoundedStream,7,crates/mail-imap/src/lib.rs
rust,IDENTIFIANT,APP_ID,7,apps/desktop/src/demenagement.rs
rust,commandes,commands,7,apps/desktop/src/main.rs;crates/mail-imap/src/faux_serveur.rs
rust,dossier_temporaire,temp_folder,7,apps/desktop/src/instance.rs;apps/desktop/src/trace.rs
rust,echo_envoi,send_echo,7,crates/mail-core/src/echo.rs
rust,fils,threads,7,crates/mail-core/examples/banc_migration_fils.rs;crates/mail-core/examples/banc_page_liste.rs;crates/mail-core/src/nav.rs;crates/mail-core/src/store.rs
rust,flux,stream,7,crates/mail-imap/src/lib.rs
