identifiant	occurrences	fichiers
INDESIRABLES	2	crates/mail-core/src/nav.rs
INDEX_EXPEDITEURS	2	crates/mail-core/src/store.rs
InvitationLigne	2	apps/desktop/src/commands.rs
LIMITE	2	crates/mail-core/src/body.rs
LOT_CHANGEMENTS	2	crates/mail-imap/src/lib.rs
LOT_CORPS_OCTETS	2	crates/mail-imap/src/lib.rs
MESSAGES	2	crates/mail-core/src/store.rs
MOIS	2	crates/mail-core/src/correspondants.rs
MethodeInconnue	2	crates/mail-ical/src/lib.rs
MigrationShared	2	apps/desktop/src/main.rs
PAGE_UNIFIEE	2	crates/mail-core/examples/banc_page_liste.rs
PAGE_UN_COMPTE	2	crates/mail-core/examples/banc_page_liste.rs
PAUSE_MAX	2	apps/desktop/src/veilleur.rs
PERIMETRES_NETTOYAGE	2	crates/mail-core/src/store.rs
PLAGES_NETTOYAGE	2	crates/mail-core/src/store.rs
PREFS_PAR_COMPTE	2	crates/mail-core/src/store.rs
REGISTRE	2	crates/mail-core/src/store.rs
Reponse	2	crates/mail-ical/src/lib.rs
SEUIL_QUARANTAINE	2	crates/mail-core/src/store.rs
SOUS_LOT	2	crates/mail-core/src/store.rs
SansEvenement	2	crates/mail-ical/src/lib.rs
SansUid	2	crates/mail-ical/src/lib.rs
VolPasse	2	apps/desktop/src/main.rs
_releve	2	apps/desktop/src/commands.rs
adresses_de	2	crates/mail-core/src/store.rs
annulee	2	apps/desktop/src/commands.rs;crates/mail-core/src/store.rs
app_bulles	2	apps/desktop/src/commands.rs
attente	2	crates/mail-core/examples/banc_nettoyage.rs
attente_apres_echecs	2	apps/desktop/src/commands.rs
avec	2	crates/mail-core/src/outbox.rs
bloc	2	crates/mail-core/src/compose.rs
bloque	2	crates/mail-core/src/compose.rs
boucle	2	apps/desktop/src/veilleur.rs
bulles	2	crates/mail-core/src/sync.rs
canoniques_hors_archives	2	crates/mail-core/src/nav.rs
clair	2	crates/mail-render/src/lib.rs
corps_images	2	crates/mail-core/examples/seed_arrivee.rs
corps_synthetique	2	crates/mail-core/examples/seed_inbox.rs
correspondants	2	crates/mail-core/src/lib.rs
deindex_message	2	crates/mail-core/src/search.rs
deja_en_file	2	crates/mail-core/src/store.rs
deja_stmt	2	crates/mail-core/src/store.rs
demande	2	crates/mail-ical/tests/corpus.rs
demenagement	2	apps/desktop/src/main.rs
depuis_jours	2	crates/mail-core/examples/seed_clarity.rs
doit_relever	2	apps/desktop/src/commands.rs
dossiers_inclus	2	crates/mail-core/src/store.rs
drapeaux	2	crates/mail-core/src/sync.rs
echo	2	crates/mail-core/src/lib.rs
echo_attachments	2	crates/mail-core/src/echo.rs
echos	2	crates/mail-core/src/echo.rs
ecrire_invitation	2	crates/mail-core/src/store.rs
embedded_client_secret	2	crates/mail-auth/src/provider.rs
encore	2	crates/mail-core/src/backfill.rs
envoi_echo	2	crates/mail-core/examples/seed_clarity.rs
epingle	2	crates/mail-core/src/store.rs
epoque_portier	2	crates/mail-core/src/store.rs
exclusion_organisee	2	crates/mail-core/src/store.rs
expediteur	2	crates/mail-core/examples/seed_clarity.rs
fil_route_sql	2	crates/mail-core/src/store.rs
filtre_non_lues	2	crates/mail-core/src/nav.rs
fin_du_bloc	2	crates/mail-core/src/compose.rs
generate_message_id	2	crates/mail-core/src/compose.rs
id_du_compte	2	apps/desktop/src/veilleur.rs
images_counter	2	crates/mail-render/src/sanitize.rs
invitation_de	2	crates/mail-core/src/body.rs
jamais_vu	2	crates/mail-core/src/sync.rs
jeu	2	crates/mail-imap/src/faux_serveur.rs
jours	2	crates/mail-core/src/backfill.rs
